step,conv_thr_ry
85,1e-07
47,1e-07
38,1e-07
32,9.44e-08
41,7.74e-08
40,5.07e-08
39,3.48e-08
43,2.76e-08
47,3.51e-08
41,4.51e-08
36,3.14e-08
31,1.76e-08
35,1.31e-08
37,2.4e-08
39,2.58e-08
36,1.54e-08
39,1.94e-08
38,1.71e-08
44,7.5e-09
47,1.3e-09
37,8e-09
32,4.4e-09
39,3.7e-09
41,3.6e-09
34,2e-09
37,2.6e-09
37,3.7e-09
38,4.6e-09
42,4.7e-09
41,3e-09
39,2.1e-09
39,2.5e-09
37,1.7e-09
35,1.8e-09
33,1.7e-09
39,1.5e-09
39,1.3e-09
41,1.5e-09
38,2e-09
38,2.8e-09
38,2.7e-09
36,1.5e-09
36,1.6e-09
39,2e-09
42,2.1e-09
38,1.4e-09
37,1.5e-09
39,1e-09
37,1e-09
39,1e-09
38,1e-09
41,1e-09
37,1.5e-09
